"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Support Transparent Materials","https://app.dework.xyz/m3/avatar-interop?taskId=fec73b87-9f27-45a1-adcf-cd2d63ca0564","github issue","","TODO","","","","","Github Integration created on Oct 4, 2023 6:15 PM"
"Missing armatures in Anata Blends","https://app.dework.xyz/m3/avatar-interop?taskId=13d76b26-d868-4ea6-82e7-6b70644c5cfb","github issue","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","600 USDT","","Github Integration created on Oct 3, 2023 3:29 PM"
"Marketing: Animation reel of Anata assets","https://app.dework.xyz/m3/avatar-interop?taskId=378354e5-81f9-489b-b51a-ec5038951260","","","TODO","","","400 USDT","","jin created on Oct 2, 2023 8:29 PM"
"convert principled bsdf / standard to mtoon upon export from blender","https://app.dework.xyz/m3/avatar-interop?taskId=058aaf33-d169-4a48-8fdb-d54b52460d6a","github issue","","TODO","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","100 USDC","","Github Integration created on Oct 2, 2023 6:04 PM"
"Generate manifest.json based on *_attributes.json","https://app.dework.xyz/m3/avatar-interop?taskId=6db8ca56-ef38-46fd-a1b1-e32ba2f82925","github issue","","DONE","","","","","Github Integration created on Oct 2, 2023 4:57 PM, Task completed on Oct 2, 2023 4:59 PM"
"Documentation: Using Blender export script","https://app.dework.xyz/m3/avatar-interop?taskId=3408b354-ff0d-46fa-be94-5a23ea33f9a5","github issue","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","100 USDC","","Github Integration created on Oct 2, 2023 4:32 PM"
"Update thumbnails","https://app.dework.xyz/m3/avatar-interop?taskId=6e071cd9-b1ee-44a5-b618-0820eb55a391","github issue","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","120 USDC","","Github Integration created on Oct 2, 2023 3:59 PM, Task completed on Oct 4, 2023 6:49 PM"
"Fix: loading a character not displaying the shader","https://app.dework.xyz/m3/avatar-interop?taskId=61e48eca-0009-48e4-90b3-cda4ea5c1d8a","github issue","","TODO","","","","","Github Integration created on Oct 2, 2023 3:33 PM"
"Apply official vrm animation to character to avoid Desynchronization from trait assets","https://app.dework.xyz/m3/avatar-interop?taskId=9398c03e-a074-4070-9f32-0486fd8d04e4","github issue","","TODO","","","","","Github Integration created on Oct 2, 2023 2:07 PM"
"Add wireframe mode to debug culling distance easier","https://app.dework.xyz/m3/avatar-interop?taskId=c3e5c8c1-feec-4df4-8b3b-353f44e037e1","github issue","","DONE","memelotsqui","0x4525AC41ae8Ee37892589b213EbF6B23bB99c661","200 USDC","","Github Integration created on Oct 2, 2023 1:10 PM, Task completed on Oct 3, 2023 3:54 PM"
"New idle animation / animation selector","https://app.dework.xyz/m3/avatar-interop?taskId=1e131a68-2bae-47ef-bd07-5c0a59ad6981","github issue","","IN_PROGRESS","memelotsqui","0x4525AC41ae8Ee37892589b213EbF6B23bB99c661","120 USDC","","Github Integration created on Oct 2, 2023 1:08 PM"
