"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Hydroponic Grow Kit Desktop Size","https://app.dework.xyz/m3/assets-5?taskId=14d2f86d-edc4-4178-9c44-a0b33337e93c","","","DONE","boomboxhead","0x670A6EB62f5146d4B3B40C7b58AA31d175E3d6Fb","150 USDC","","jin created on Sep 28, 2023 1:55 PM, Task completed on Sep 28, 2023 1:55 PM"
"Hydroponic Grow Kit Desktop Size","https://app.dework.xyz/m3/assets-5?taskId=468a10f9-9833-43bd-a707-e6dae66350e7","","","DONE","Arashi2","0x7C2529De2bE136EC50D70bC6c677dFb0c377A83a","150 USDC","","jin created on Jul 11, 2023 12:49 PM, Task completed on Jul 11, 2023 12:49 PM"
"Hydroponic Grow Kit Desktop Size","https://app.dework.xyz/m3/assets-5?taskId=c4d5a7d2-edc0-4877-9578-bcb62567362d","","","DONE","","","150 USDC","","jin created on Jun 20, 2023 3:26 PM, Task completed on Sep 28, 2023 1:55 PM"
"Farmstand","https://app.dework.xyz/m3/assets-5?taskId=c5562a64-38a3-4111-bea5-ff54bdf580d5","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","150 USDC","","jin created on Jun 16, 2023 6:39 PM, Task completed on Jun 26, 2023 10:33 PM"
"Kratky method jars","https://app.dework.xyz/m3/assets-5?taskId=ee573191-7168-4f72-a15e-2df0f99b6359","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","150 USDC","","jin created on Jun 16, 2023 6:29 PM, Task completed on Jul 5, 2023 9:18 PM"
"add boomboxhead","https://app.dework.xyz/m3/assets-5?taskId=d0f8ea4a-5725-4fc6-a089-bb269634a045","github issue","","DONE","","","","","Github Integration created on Nov 14, 2022 2:20 PM, Task completed on May 30, 2023 10:37 AM"
"Books / Posters","https://app.dework.xyz/m3/assets-5?taskId=1e8027ac-2b04-466f-b0af-4f04735e43f0","","","TODO","","","","","jin created on Oct 5, 2022 8:21 PM"
"PlayCanvas to Webaverse exporter","https://app.dework.xyz/m3/assets-5?taskId=e88f47fc-3b0c-48bd-9947-c9571ef07031","","","BACKLOG","","","","","jin created on Jul 26, 2022 11:31 PM"
"Storyboard / Edit Space Base video","https://app.dework.xyz/m3/assets-5?taskId=a32b8444-b01c-42ce-a3d7-1132f481089f","","","DONE","","","","","jin created on Jul 17, 2022 3:57 AM, Task completed on May 30, 2023 10:37 AM"
"Space Base Checklist","https://app.dework.xyz/m3/assets-5?taskId=5e58a87f-9c3a-4176-ad5a-3f9352ff727e","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 16, 2022 7:31 PM, Task completed on Mar 13, 2023 12:44 AM"
"Improve the documentation","https://app.dework.xyz/m3/assets-5?taskId=9997f0d4-4902-474b-bde4-cf29d5597c57","","","TODO","","","","","jin created on Jul 2, 2022 10:12 PM"
"Video clips for Shipping Container","https://app.dework.xyz/m3/assets-5?taskId=370f7278-5884-455a-8b11-1d2de023ab60","","","TODO","","","","","jin created on Jul 2, 2022 9:55 PM"
"Video clips for Space Base","https://app.dework.xyz/m3/assets-5?taskId=0766ad5f-1167-47f6-af43-b0ba1393f5e9","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 2, 2022 9:53 PM, Task completed on Aug 17, 2022 10:58 PM"
