"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Metaverse Conference in Metaverse Video Proposal","https://app.dework.xyz/m3/m3tv-assets?taskId=d847c394-f05b-4515-9f83-62b976480630","","","TODO","","","","","jin created on Oct 6, 2023 3:36 PM"
"Export common camera shots as animated glb","https://app.dework.xyz/m3/m3tv-assets?taskId=cddaa9ad-1be1-49ee-a526-454a10d9c69e","","","TODO","","","","","jin created on Sep 26, 2023 4:31 PM"
"Podcast with Funghibull","https://app.dework.xyz/m3/m3tv-assets?taskId=904cb6bc-de85-44f4-9150-fa151e65f977","","","TODO","","","","","jin created on Sep 26, 2023 3:59 PM"
"Podcast with Coldie","https://app.dework.xyz/m3/m3tv-assets?taskId=4a38d271-b0ed-4a22-acce-e1cc28e2abf7","","","TODO","","","","","jin created on Sep 26, 2023 3:59 PM"
"Podcast: glTF with Ash","https://app.dework.xyz/m3/m3tv-assets?taskId=970ec842-e864-422b-b772-9a7ab03d4548","","","TODO","","","","","jin created on Sep 26, 2023 3:58 PM"
"M3 sizzle video","https://app.dework.xyz/m3/m3tv-assets?taskId=9623cf4b-12c1-4f97-b964-81408aee0b8c","","","TODO","","","","","jin created on Sep 1, 2023 2:44 PM"
"Onboarding video","https://app.dework.xyz/m3/m3tv-assets?taskId=84b86a13-b795-49e8-b2b6-e64e870ca770","","","TODO","","","","","jin created on Sep 1, 2023 2:43 PM"
"Box Set: M3 2019 Archives","https://app.dework.xyz/m3/m3tv-assets?taskId=29729357-404d-4535-8de6-a9910c60f847","","","TODO","","","","","jin created on Aug 25, 2023 8:33 PM"
"M3TV Panels","https://app.dework.xyz/m3/m3tv-assets?taskId=0f63068d-c93e-43d5-bfb4-21cfee500d02","","","DONE","7oroy.eth","0xe752A9EC1DCE643407DfE51be6c273b59aeB4D46","150 USDC","","jin created on Aug 6, 2023 2:43 AM, Task completed on Aug 10, 2023 9:06 PM"
"openvoxels","https://app.dework.xyz/m3/m3tv-assets?taskId=eeafa7c8-61d3-49ed-aa30-3adb63c92a59","","","DONE","7oroy.eth","0xe752A9EC1DCE643407DfE51be6c273b59aeB4D46","150 USDC","","jin created on Aug 6, 2023 2:42 AM, Task completed on Aug 8, 2023 3:04 AM"
