"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Discord Bot to archive media from users / channels","https://app.dework.xyz/m3/m3ta?taskId=d844666d-07be-4038-8792-79c575568c31","","","IN_PROGRESS","🐙 Misanth 🐙","0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538","200 USDC","December 31, 2023 8:54 AM","jin created on Oct 2, 2023 8:00 PM"
"Test","https://app.dework.xyz/m3/m3ta?taskId=c495e674-ca00-4e66-aef3-12a9d82fe373","","","DONE","7oroy.eth","0xe752A9EC1DCE643407DfE51be6c273b59aeB4D46","1 USDC","","jin created on Sep 29, 2023 7:08 PM, Task completed on Sep 29, 2023 7:10 PM"
"GM ATM CC0FFEE CUPS","https://app.dework.xyz/m3/m3ta?taskId=faf250b9-6ba0-40c2-963a-0ee760a6f8a5","","","IN_PROGRESS","SpeedFox","0xe68435E5ce59E731e3e53Ff9ce065F8E1c28008F","60 USDC","","jin created on Sep 29, 2023 4:31 PM"
"Mixamo Hyperfy Animation glbs","https://app.dework.xyz/m3/m3ta?taskId=4b821aab-6a44-4b92-acc0-c958e04ba04b","","","TODO","","","1 WORLD","","jin created on Sep 27, 2023 12:52 AM"
"LoRA Training Animation","https://app.dework.xyz/m3/m3ta?taskId=fb759bcf-1d27-43eb-b4f1-0579bc16ef49","","","TODO","","","200 USDC","","jin created on Sep 26, 2023 11:38 PM"
"MetaFactory 3D Printer Drop","https://app.dework.xyz/m3/m3ta?taskId=129d3bfd-7d18-47f0-bf20-425249ebe83b","","","TODO","","","150 USDC","","jin created on Sep 26, 2023 6:57 PM"
"2D Overworld Linktree Website","https://app.dework.xyz/m3/m3ta?taskId=7a3e56f3-cf7d-45ce-bba0-cbc72eed89f6","","","TODO","","","","","jin created on Sep 26, 2023 3:47 PM"
"tubbygotchi gacha / vending machine","https://app.dework.xyz/m3/m3ta?taskId=3da57ee0-ddc7-44e1-be39-e8379bf5f49c","","","DONE","7oroy.eth","0xe752A9EC1DCE643407DfE51be6c273b59aeB4D46","150 USDC","","jin created on Sep 15, 2023 11:04 PM, Task completed on Sep 16, 2023 4:33 PM"
"Badge case","https://app.dework.xyz/m3/m3ta?taskId=e2ac0141-4564-423e-823d-adf1f6a9050a","","","TODO","","","","","jin created on Sep 11, 2023 3:22 PM"
"omigroup demo night","https://app.dework.xyz/m3/m3ta?taskId=b03adb67-507b-4e59-bdbb-fffee87dcdc7","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","30 USDC","","jin created on Sep 11, 2023 3:07 PM, Task completed on Oct 7, 2023 5:30 PM"
