"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Openvoxels Update / Podcast video","https://app.dework.xyz/m3/openvoxels?taskId=af3aacdd-1eed-4dbb-b447-89a5814a7409","github issue","","DONE","","","","","Github Integration created on Apr 4, 2023 3:32 PM, Task completed on Apr 5, 2023 9:04 PM"
"Openvoxels Update / Podcast video","https://app.dework.xyz/m3/openvoxels?taskId=e926eaf5-f091-49c2-8253-bd792d52232b","","","DONE","ALTERED EVIL","0x4d40b38FEb210Fc6340242E548758CF493B8f6BC","150 USDC","","jin created on Apr 4, 2023 3:32 PM, Task completed on Apr 5, 2023 9:04 PM"
"Voxels -> Blender pipeline","https://app.dework.xyz/m3/openvoxels?taskId=3d3c1986-46a3-4953-95bf-61a01d7adb61","github issue","","IN_PROGRESS","","","500 USDC","","jin created on Mar 2, 2023 3:19 PM"
"Process 12-17-2022 parcels","https://app.dework.xyz/m3/openvoxels?taskId=459f603a-4fa4-4fbe-9186-ea8fbbd6c662","github issue","12","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","0.3 ETH","","jin created on Feb 26, 2023 9:56 PM, Task completed on Mar 13, 2023 12:25 AM"
"dao funding round 3 promo video","https://app.dework.xyz/m3/openvoxels?taskId=b32c76dc-a3f9-44a6-a848-870184703538","github issue","","DONE","A___","0xB84e22c66c0c99D6193bB49376cAC88fF9C90C8B","","","A___ created on Feb 10, 2023 12:06 AM, Task completed on Mar 13, 2023 12:41 AM"
"[Openvoxels] NFT art","https://app.dework.xyz/m3/openvoxels?taskId=38167d98-11c4-402c-86e6-9643c1d20013","github issue","","DONE","A___","0xB84e22c66c0c99D6193bB49376cAC88fF9C90C8B","0.1 ETH","","jin created on Jan 9, 2023 9:00 PM, Task completed on Mar 13, 2023 12:25 AM"
"Cryptoart rewards for Juicebox DAO","https://app.dework.xyz/m3/openvoxels?taskId=b3e7ddcb-e0b4-4483-81f7-8a14bfdb76ce","github issue","","DONE","","","","","Github Integration created on Jan 6, 2023 12:06 AM, Task completed on Jan 14, 2023 8:54 PM"
"Re-export smooth voxels without fade","https://app.dework.xyz/m3/openvoxels?taskId=b28711b6-414e-4a36-9c0a-a023d37b4259","github issue","","DONE","","","","","Github Integration created on Jan 5, 2023 12:19 AM, Task completed on Jan 5, 2023 8:28 PM"
"Proposal: Train Point-E on NFT datasets","https://app.dework.xyz/m3/openvoxels?taskId=d9b89b41-8f72-48f8-9d5b-21f934ee27a8","github issue","","TODO","","","","","Github Integration created on Dec 20, 2022 6:21 PM"
"Sandbox assets json","https://app.dework.xyz/m3/openvoxels?taskId=ad685f2f-7109-4edd-ac54-887914290fad","github issue","","DONE","philbert","0x377aCc3717a67e2F5D8E7818c0360Bcdf0E17Af4","$200 in ETH","","jin created on Dec 20, 2022 3:29 PM, Task completed on Dec 24, 2022 11:06 AM"
"Upload 2022 snapshot to archives","https://app.dework.xyz/m3/openvoxels?taskId=0dbbc8ad-f520-473b-bd7a-165023466b66","github issue","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","Github Integration created on Dec 20, 2022 4:18 AM"
"Fix normals in latest export","https://app.dework.xyz/m3/openvoxels?taskId=6cc0dd27-065d-45c3-8011-d8eec408dcfb","github issue","","TODO","","","","","Github Integration created on Dec 19, 2022 12:49 PM"
"inverted / mirrored material","https://app.dework.xyz/m3/openvoxels?taskId=f877b367-a505-402f-b257-bcef44442594","github issue","","DONE","A___","0xB84e22c66c0c99D6193bB49376cAC88fF9C90C8B","","","Github Integration created on Nov 28, 2022 7:07 PM, Task completed on Nov 30, 2022 12:34 AM"
"Smooth Voxel wearables","https://app.dework.xyz/m3/openvoxels?taskId=86daf3cb-c74b-475c-a252-e38b39277537","github issue","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Nov 22, 2022 8:49 PM, Task completed on Nov 30, 2022 12:56 PM"
"Take new thumbnails of all the wearables","https://app.dework.xyz/m3/openvoxels?taskId=1524a38d-5e9a-4482-bd59-44ce0b107f37","github issue","","IN_REVIEW","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Nov 22, 2022 8:49 PM"
"gltf-transform to encode metadata into each wearable","https://app.dework.xyz/m3/openvoxels?taskId=93a6f7cb-b7e4-4d2f-85c4-25e16f70ee21","github issue","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Nov 22, 2022 8:49 PM, Task completed on Jan 6, 2023 7:21 PM"
"Create a NeRF of voxels to test with","https://app.dework.xyz/m3/openvoxels?taskId=bf4a9176-9ebf-418b-8fe9-ddd1bace9258","github issue","","IN_PROGRESS","","","100 USDC","","jin created on Nov 22, 2022 8:49 PM"
"Openvoxels wearable world "shopping/tagging" world and template","https://app.dework.xyz/m3/openvoxels?taskId=f5c48ab4-ccee-4828-83aa-ecb507401963","","","COMMUNITY_SUGGESTIONS","","","","","A___ created on Nov 5, 2022 11:57 PM"
"Create 3D rendered art from Origin City dataset","https://app.dework.xyz/m3/openvoxels?taskId=53425dc9-b405-4dae-8e69-4bf429638481","github issue","","DONE","A___","0xB84e22c66c0c99D6193bB49376cAC88fF9C90C8B","0.1 ETH","","jin created on Nov 5, 2022 8:51 PM, Task completed on Jul 29, 2023 1:11 PM"
"Tip for creating suggestion","https://app.dework.xyz/m3/openvoxels?taskId=7b93109e-40ea-4521-a135-17b5c4ce9717","","","DONE","A___","0xB84e22c66c0c99D6193bB49376cAC88fF9C90C8B","0.05 ETH","","jin created on Nov 5, 2022 8:46 PM, Task completed on Nov 5, 2022 8:46 PM"
"Make wearables way more awesome","https://app.dework.xyz/m3/openvoxels?taskId=ff825df3-1ec8-457d-b350-deaeeed7e3d5","github issue","","TODO","","","","","jin created on Oct 24, 2022 10:41 PM"
"VRChat FPS world","https://app.dework.xyz/m3/openvoxels?taskId=ed500920-3d13-4821-a6b2-57e2915d9350","","","TODO","","","","","A___ created on Oct 23, 2022 10:24 PM"
"Apply smoothvoxels to wearables dataset","https://app.dework.xyz/m3/openvoxels?taskId=3a1bc532-9927-49bb-85ac-85f84193c6e0","github issue","","DONE","","","","","jin created on Oct 23, 2022 9:17 PM, Task completed on Nov 30, 2022 12:55 PM"
"Game Maps for different games through Steam Workshop etc","https://app.dework.xyz/m3/openvoxels?taskId=9d73f6e8-3886-40ae-ad36-b0374ff440ea","","","COMMUNITY_SUGGESTIONS","","","","","A___ created on Oct 22, 2022 10:48 PM"
"Grant: VRChat world creator","https://app.dework.xyz/m3/openvoxels?taskId=c2259ea5-17c3-4b11-9e16-926c916c7adb","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","$150 in USDC","","jin created on Sep 29, 2022 7:49 PM, Task completed on Jul 8, 2023 12:25 PM"
"Improve openvoxels + open brush example","https://app.dework.xyz/m3/openvoxels?taskId=1eed7fbb-9794-4ad1-b57b-63c8104a7f48","github issue","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Sep 25, 2022 8:37 PM"
"Snapshot the grid 12-13-22","https://app.dework.xyz/m3/openvoxels?taskId=05cccbdb-6978-40dc-8ab1-e1163a4d2ba8","github issue","","DONE","","","","","jin created on Sep 25, 2022 8:35 PM, Task completed on Jan 14, 2023 8:54 PM"
"Avatar wearable interop experiments","https://app.dework.xyz/m3/openvoxels?taskId=df6cf236-0a5d-4ef1-a08f-ba7304ac7df9","github issue","","TODO","","","","","jin created on Sep 25, 2022 2:30 PM"
"GLB Parcel Minter","https://app.dework.xyz/m3/openvoxels?taskId=26c0a3e8-e2df-4b49-84b5-00f1ced38b0c","github issue","","IN_PROGRESS","philbert","0x377aCc3717a67e2F5D8E7818c0360Bcdf0E17Af4","","","jin created on Sep 25, 2022 2:30 PM"
"Upload vox vehicles","https://app.dework.xyz/m3/openvoxels?taskId=d4328eed-c353-4dbc-b7b8-e5a7d73b42ed","","","TODO","","","","","jin created on Sep 24, 2022 4:08 PM"
"Batch download script","https://app.dework.xyz/m3/openvoxels?taskId=db314184-751d-49b2-8ef3-f4a6c898a96d","github issue","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Aug 13, 2022 1:35 AM, Task completed on Nov 30, 2022 12:56 PM"
"Better examples made with openbrush","https://app.dework.xyz/m3/openvoxels?taskId=6e57c03e-95e4-4364-b4cc-62be11aa056c","github issue","","TODO","","","200 USDC, 50 ROBOT","","jin created on Aug 13, 2022 1:35 AM"
"How-to guide on voxels + open brush","https://app.dework.xyz/m3/openvoxels?taskId=770390ce-800b-48c7-9e3f-a14d77e42f7d","github issue","","TODO","","","150 USDC","","jin created on Aug 13, 2022 1:35 AM"
"Video sequel to cryptovoxels+","https://app.dework.xyz/m3/openvoxels?taskId=8a55ac07-c1af-4927-8a86-aad7be345de1","github issue","","TODO","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","35 ROBOT","","jin created on Aug 13, 2022 1:35 AM"
