"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Crypto Onboarding Games","https://app.dework.xyz/m3/the-m3mes?taskId=4d9e67eb-d31b-4f2b-a017-5ef7aba1dab5","","","TODO","","","0.06529 ETH, 1 WORLD","","jin created on Oct 2, 2023 1:08 AM"
"Capsule corp glTF animation template","https://app.dework.xyz/m3/the-m3mes?taskId=3948f3e3-4270-42bf-b26e-b2dc90052552","","","TODO","","","","","jin created on Sep 27, 2023 5:15 PM"
"Pop-up Book glTF animation Template","https://app.dework.xyz/m3/the-m3mes?taskId=0d3df059-0619-412c-9bc6-53066dc88beb","","","TODO","","","","","jin created on Sep 27, 2023 5:13 PM"
"Punko Pop Case","https://app.dework.xyz/m3/the-m3mes?taskId=3616a34f-4642-4207-8d9f-38a59bba918d","","","DONE","7oroy.eth","0xe752A9EC1DCE643407DfE51be6c273b59aeB4D46","100 USDC","","jin created on Sep 12, 2023 7:23 PM, Task completed on Sep 22, 2023 12:46 PM"
"3D storage container randomizer","https://app.dework.xyz/m3/the-m3mes?taskId=d6f26d46-fde6-488f-936d-51119adf77ec","github issue","","TODO","","","","","Github Integration created on Sep 6, 2023 2:45 PM"
"simple website","https://app.dework.xyz/m3/the-m3mes?taskId=ec7bb281-5338-4b28-9f62-ed02980c921a","github issue","","TODO","","","300 USDC","","Github Integration created on Aug 29, 2023 4:31 PM"
"Silkroad Western Wagon","https://app.dework.xyz/m3/the-m3mes?taskId=6c9fc1df-4952-438c-b43a-5ce87336a643","","","TODO","","","","","jin created on Aug 27, 2023 4:49 PM"
"HackMD Dev log digital gardens","https://app.dework.xyz/m3/the-m3mes?taskId=73b15674-9140-45e5-a026-ea22c617f2b3","","","TODO","","","","","jin created on Aug 27, 2023 4:47 PM"
"OM frame","https://app.dework.xyz/m3/the-m3mes?taskId=d60d93be-8c08-4b02-a350-d27a00b080d5","","","TODO","","","","","jin created on Aug 27, 2023 4:47 PM"
"Announcement poster","https://app.dework.xyz/m3/the-m3mes?taskId=2f0a733d-0d45-4543-a224-76c72dc2f38b","","","TODO","","","","","jin created on Aug 22, 2023 7:52 PM"
"Design 3D assets","https://app.dework.xyz/m3/the-m3mes?taskId=cd19cebb-c379-4d46-98fb-660d1808a375","github issue","","IN_PROGRESS","","","1 WORLD, 0.06529 ETH","","jin created on Aug 18, 2023 7:28 PM"
